Show,Date,FB Likes,Likes Vs.Last Week,FB Talking About,Talking Vs.Last Week,FB Checkins,Checkins vs.Last Week,Twitter Followers,Twitter vs.Last Week,Instagram Followers,IG Followers vs.Last Week,Current,Type,Total Fans Change
Aladdin,3/26,"452,116","1,333","12,265","7,319","169,631",501,"46,625",62,"97,203","1,411",Current,Musical,0.47%
Aladdin,3/19,"450,783",647,"4,946","-2,586","169,130",669,"46,563",53,"95,792",480,Current,Musical,0.20%
Aladdin,3/12,"450,136",583,"7,532","6,481","168,461",800,"46,510",69,"95,312",377,Current,Musical,0.17%
Aladdin,3/5,"449,553",393,"1,051","-2,556","167,661",959,"46,441",77,"94,935",556,Current,Musical,0.17%
Aladdin,2/26,"449,160",499,"3,607","-6,075","166,702",851,"46,364",70,"94,379",708,Current,Musical,0.22%
Aladdin,2/19,"448,661",423,"9,682",-444,"165,851",936,"46,294",37,"93,671",367,Current,Musical,0.14%
Aladdin,2/12,"448,238",456,"10,126","-3,618","164,915",958,"46,257",65,"93,304",558,Current,Musical,0.18%
Aladdin,2/5,"447,782",533,"13,744","10,042","163,957","1,048","46,192",159,"92,746",623,Current,Musical,0.22%
Aladdin,1/29,"447,249",305,"3,702",423,"162,909","1,128","46,033",102,"92,123",653,Current,Musical,0.18%
Aladdin,1/22,"446,944",377,"3,279","-5,028","161,781",929,"45,931",42,"91,470",577,Current,Musical,0.17%
Aladdin,1/15,"446,567",369,"8,307","-7,615","160,852",755,"45,889",64,"90,893",916,Current,Musical,0.23%
Aladdin,1/8,"446,198",802,"15,922","14,912","160,097",682,"45,825",43,"89,977",261,Current,Musical,0.19%
Aladdin,1/2,"445,396",157,"1,010","-2,573","159,415",706,"45,782",29,"89,716",315,Current,Musical,0.09%
Aladdin,12/26,"445,239",827,"3,583","1,076","158,709",762,"45,753",28,"89,401",328,Current,Musical,0.20%
Aladdin,12/18,"444,412",342,"2,507",-105,"157,947",741,"45,725",52,"89,073",247,Current,Musical,0.11%
Aladdin,12/11,"444,070",401,"2,612",-284,"157,206",794,"45,673",74,"88,826",377,Current,Musical,0.15%
Aladdin,12/4,"443,669",0,"2,896",0,"156,412",0,"45,599",0,"88,449",0,Current,Musical,0%
Aladdin,11/27,"443,208",386,"3,499",467,"155,692",705,"45,539",116,"88,072",387,Current,Musical,0.15%
Aladdin,11/27,"443,209",387,"1,136","-1,896","65,869","-89,118","14,700","-30,723","13,191","-74,494",Current,Musical,-18.20%
Aladdin,11/20,"442,822",389,"3,032","-5,211","154,987",764,"45,423",97,"87,685",369,Current,Musical,0.15%
Aladdin,11/13,"442,433","1,061","8,243",558,"154,223",849,"45,326",64,"87,316",457,Current,Musical,0.28%
Aladdin,11/6,"441,372","2,678","7,685","2,318","153,374",625,"45,262",81,"86,859",410,Current,Musical,0.56%
Aladdin,10/30,"438,694",948,"5,367","-8,378","152,749",777,"45,181",42,"86,449",377,Current,Musical,0.24%
Aladdin,10/23,"437,746","2,622","13,745","1,192","151,972",604,"45,139",44,"86,072",363,Current,Musical,0.54%
Aladdin,10/16,"435,124","3,608","12,553","-16,411","151,368",526,"45,095",36,"85,709",337,Current,Musical,0.71%
Aladdin,10/9,"431,516","6,248","28,964","24,859","150,842",504,"45,059",24,"85,372",365,Current,Musical,1.20%
Aladdin,10/2,"425,268","1,324","4,105","-2,761","150,338",671,"45,035",33,"85,007",400,Current,Musical,0.32%
Aladdin,9/25,"423,944","1,346","6,866",-99,"149,667",673,"45,002",33,"84,607",378,Current,Musical,0.32%
Aladdin,9/18,"422,598","1,170","6,965","1,190","148,994",629,"44,969",78,"84,229",387,Current,Musical,0.30%
Aladdin,9/11,"421,428","1,567","5,775","-12,148","148,365",736,"44,891",253,"83,842",391,Current,Musical,0.40%
Aladdin,9/4,"419,861","8,492","17,923","5,740","147,629",491,"44,638",55,"83,451",505,Current,Musical,1.68%
Aladdin,8/28,"411,369","5,676","12,183","3,384","147,138",454,"44,583",84,"82,946",410,Current,Musical,1.16%
Aladdin,8/21,"405,693","1,033","8,799","4,939","146,684",556,"44,499","26,227","82,536","1,049",Current,Musical,5.61%
Aladdin,8/14,"404,660",567,"3,860","-2,409","146,128",410,"18,272",188,"81,487",554,Current,Musical,0.26%
Aladdin,8/7,"404,093",976,"6,269",-842,"145,718",447,"18,084",180,"80,933",516,Current,Musical,0.33%
Aladdin,7/31,"403,117","1,342","7,111","4,735","145,271",442,"17,904",192,"80,417",921,Current,Musical,0.49%
Aladdin,7/24,"401,775","1,379","2,376","-1,998","144,829",434,"17,712",244,"79,496",632,Current,Musical,0.45%
Aladdin,7/17,"400,396",920,"4,374",494,"144,395",324,"17,468",297,"78,864",550,Current,Musical,0.36%
Aladdin,7/9,"399,476",930,"3,880","-3,006","144,071",463,"17,171",236,"78,314",277,Current,Musical,0.29%
Aladdin,7/2,"398,546","1,192","6,886",119,"143,608",462,"16,935",260,"78,037",385,Current,Musical,0.37%
Aladdin,6/25,"397,354",569,"6,767","4,457","143,146",249,"16,675",253,"77,652",411,Current,Musical,0.25%
American Utopia,9/29,813,70,530,76,0,0,579,33,"1,856",196,Upcoming,Play,10.14%
American Utopia,9/22,743,57,454,-126,0,0,546,25,"1,660",154,Upcoming,Play,8.70%
American Utopia,9/15,686,56,580,80,0,0,521,47,"1,506",215,Upcoming,Play,13.28%
American Utopia,9/8,630,49,500,100,0,0,474,18,"1,291",95,Upcoming,Play,7.25%
American Utopia,9/1,581,45,400,108,0,0,456,64,"1,196",107,Upcoming,Play,10.71%
American Utopia,8/25,536,27,292,69,0,0,392,25,"1,089",77,Upcoming,Play,6.83%
American Utopia,8/18,509,22,223,-6,0,0,367,19,"1,012",53,Upcoming,Play,5.24%
American Utopia,8/11,487,21,229,-210,0,0,348,19,959,38,Upcoming,Play,4.55%
American Utopia,8/4,466,23,439,311,0,0,329,8,921,33,Upcoming,Play,3.87%
American Utopia,7/28,443,0,128,0,0,0,321,0,888,0,Upcoming,Play,0%
Beautiful,9/29,"52,154",28,"2,835","-1,716","137,600",527,"15,339",4,"25,130",51,Current,Musical,0.09%
Beautiful,9/22,"52,126",74,"4,551","2,740","137,073",581,"15,335",33,"25,079",-1,Current,Musical,0.11%
Beautiful,9/15,"52,052",12,"1,811",86,"136,492",621,"15,302",12,"25,080",24,Current,Musical,0.05%
Beautiful,9/8,"52,040",20,"1,725",34,"135,871",578,"15,290",13,"25,056",49,Current,Musical,0.09%
Beautiful,9/1,"52,020",36,"1,691","-1,732","135,293",479,"15,277",19,"25,007",37,Current,Musical,0.10%
Beautiful,8/25,"51,984",28,"3,423","1,573","134,814",475,"15,258",7,"24,970",25,Current,Musical,0.07%
Beautiful,8/18,"51,956",29,"1,850",-357,"134,339",492,"15,251",16,"24,945",46,Current,Musical,0.10%
Beautiful,8/11,"51,927",26,"2,207",-366,"133,847",366,"15,235",7,"24,899",75,Current,Musical,0.12%
Beautiful,8/4,"51,901",36,"2,573",708,"133,481",408,"15,228",12,"24,824",39,Current,Musical,0.09%
Beautiful,7/28,"51,865",22,"1,865","-1,924","133,073",287,"15,216",16,"24,785",62,Current,Musical,0.11%
Beautiful,7/22,"51,843",35,"3,789","1,869","132,786",324,"15,200",41,"24,723",196,Current,Musical,0.30%
Beautiful,7/14,"51,808",17,"1,920",-23,"132,462",283,"15,159",9,"24,527",31,Current,Musical,0.06%
Beautiful,7/7,"51,791",53,"1,943","-1,151","132,179",280,"15,150",31,"24,496",97,Current,Musical,0.20%
Beautiful,6/30,"51,738",40,"3,094","1,510","131,899",263,"15,119",26,"24,399",58,Current,Musical,0.14%
Beautiful,6/23,"51,698",26,"1,584",-298,"131,636",237,"15,093",-10,"24,341",75,Current,Musical,0.10%
Beautiful,6/16,"51,672",41,"1,882",-170,"131,399",284,"15,103",24,"24,266",70,Current,Musical,0.15%
Beautiful,6/9,"51,631",33,"2,052",515,"131,115",258,"15,079",5,"24,196",33,Current,Musical,0.08%
Beautiful,6/2,"51,598",23,"1,537",352,"130,857",241,"15,074",16,"24,163",91,Current,Musical,0.14%
Beautiful,5/26,"51,575",25,"1,185","-1,367","130,616",255,"15,058",21,"24,072",24,Current,Musical,0.08%
Beautiful,5/19,"51,550",47,"2,552",-133,"130,361",306,"15,037",40,"24,048",15,Current,Musical,0.11%
Beautiful,5/12,"51,503",75,"2,685",747,"130,055",339,"14,997",46,"24,033",116,Current,Musical,0.26%
Beautiful,5/5,"51,428",26,"1,938","1,938","129,716",382,"14,951",-12,"23,917",45,Current,Musical,0.07%
Beautiful,4/28,"51,402",27,0,0,"129,334",421,"14,963",-1,"23,872",14,Current,Musical,0.04%
Beautiful,4/21,"51,375",24,0,0,"128,913",299,"14,964",4,"23,858",-11,Current,Musical,0.02%
