week_ending,show,this_week_gross,diff_in_dollars,avg_ticket_price,seats_sold,perfs,percent_of_cap,diff_percent_of_cap
2019-06-30,What the Constitution Means to Me,524910.4,-11870.1,115.62,4540,8,0.9734,-0.0182
2019-06-30,Mean Girls,1066770.2,-34406.4,108.94,9792,8,0.9992,-0.0059
2019-06-30,Aladdin,1570844.5,-13735.5,114.26,13748,8,0.9951,-0.0046
2019-06-30,King Kong,692975.66,-89938.65,72.85,9513,8,0.6842,-0.098
2019-06-30,Chicago,551901.4,-37268.92,85.12,6484,8,0.7505,-0.0536
2019-06-30,Ink,373580.5,-23997.5,93.4,4000,8,0.7849,-0.0079
2019-06-30,Ain't Too Proud¡ªThe Life and Times of the Temptations,1565259.58,-24978.42,137.88,11352,8,0.9965,-0.0035
2019-06-30,All My Sons,504889.5,-55984.5,89.61,5634,8,0.9517,0.0277
2019-06-30,Be More Chill,497569.9,38191.1,86.7,5739,8,0.8051,0.0958
2019-06-30,Beetlejuice,976546.5,-4788.94,92.92,10510,8,0.8799,-0.0051
2019-06-30,Burn This,683541.75,-2881.0,105.39,6486,8,0.8445,0.0032
2019-06-30,Beautiful: The Carole King Musical,511449.02,-32893.98,92.07,5555,8,0.6768,-0.0589
2019-06-30,Come From Away,937181.6,-36241.4,110.01,8519,8,1.018,-0.0009
2019-06-30,Dear Evan Hansen,1274114.48,5160.56,159.3,7998,8,1.016,0.0002
2019-06-30,Frankie and Johnny in the Clair de Lune,266316.5,-34864.0,70.66,3769,8,0.4051,-0.0188
2019-06-30,Frozen,1289250.9,13127.7,98.02,13153,8,0.9763,-0.0033
2019-06-30,Hadestown,1308316.0,10303.0,175.8,7442,8,1.0133,0.0002
2019-06-30,Hamilton,3210888.0,31032.0,298.52,10756,8,1.0178,-0.0002
2019-06-30,"Harry Potter and the Cursed Child, Parts One and Two",1498487.5,-32152.0,115.48,12976,8,1.0,0.0
2019-06-23,The Cher Show,858578.0,57249.0,103.31,8311,8,0.7528,0.0373
2019-06-23,"Kiss Me, Kate",778214.6,85996.1,102.59,7586,8,0.9502,0.06
2019-06-23,Mean Girls,1101176.6,84387.6,111.79,9850,8,1.0051,0.0283
2019-06-23,Wicked,1992828.0,68098.0,130.79,15237,8,0.9889,0.0083
2019-06-23,My Fair Lady,831192.5,100521.0,103.77,8010,8,0.9366,0.0623
2019-06-23,Oklahoma!,614473.57,-23540.9,123.02,4995,8,0.9591,-0.0369
2019-06-23,Pretty Woman: The Musical,612732.0,61775.0,92.11,6652,8,0.7119,0.1009
2019-06-23,The Book of Mormon,1045277.9,33222.6,120.49,8675,8,1.0357,0.0084
2019-06-23,What the Constitution Means to Me,536780.5,19330.1,116.06,4625,8,0.9916,0.0094
2019-06-23,The Ferryman,863927.3,93733.7,116.57,7411,8,0.9091,0.0656
2019-06-23,The Lion King,2422497.0,92210.0,178.53,13569,8,1.0001,0.0003
2019-06-23,The Phantom of the Opera,1041449.28,-57992.64,88.8,11728,8,0.9134,-0.0409
2019-06-23,The Prom,700279.22,61914.22,94.02,7448,8,0.8909,0.0574
2019-06-23,To Kill A Mockingbird,2018314.0,67967.1,172.79,11681,8,1.0175,0.0013
2019-06-23,Tootsie,1159155.3,3970.3,112.0,10350,8,0.8076,0.0278
2019-06-23,Waitress,519144.5,72786.0,86.54,5999,8,0.7176,0.0852
2019-06-23,Ink,397578.0,-13896.6,98.41,4040,8,0.7928,-0.0068
2019-06-23,King Kong,782914.31,-4740.19,71.99,10876,8,0.7822,0.0164
2019-06-23,Mel Brooks on Broadway,583140.0,0.0,196.54,2967,2,0.9923,0.0
2019-06-23,Hillary and Clinton,302871.0,63074.5,55.31,5476,8,0.8698,0.0307
2019-06-23,Burn This,686422.75,37310.75,106.24,6461,8,0.8413,0.0563
2019-06-23,"Harry Potter and the Cursed Child, Parts One and Two",1530639.5,26132.5,117.96,12976,8,1.0,0.0
2019-06-23,Ain't Too Proud¡ªThe Life and Times of the Temptations,1590238.0,-14401.12,139.59,11392,8,1.0,0.0
2019-06-23,Aladdin,1584580.0,57815.5,114.72,13812,8,0.9997,0.0053
2019-06-23,All My Sons,560874.0,26800.3,102.54,5470,8,0.924,0.0152
2019-06-23,Beautiful: The Carole King Musical,544343.0,-16625.0,90.14,6039,8,0.7357,-0.0632
2019-06-23,Beetlejuice,981335.44,57498.44,92.84,10570,8,0.885,0.0146
